City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,byron bay,-28.65,153.6167,71.37,63,89,"{'speed': 18.05, 'deg': 136, 'gust': 24.27}",AU,200
206,lasa,46.6166,10.7002,51.69,97,100,"{'speed': 3.29, 'deg': 171, 'gust': 4.09}",IT,200
207,mareeba,-17.0,145.4333,74.44,86,97,"{'speed': 6.67, 'deg': 99, 'gust': 23.51}",AU,200
208,olafsvik,64.8945,-23.7142,37.36,53,97,"{'speed': 7.34, 'deg': 13, 'gust': 7.02}",IS,200
209,celestun,20.8667,-90.4,87.33,61,3,"{'speed': 14.56, 'deg': 19, 'gust': 17.58}",MX,200
210,adrar,20.5022,-10.0711,79.81,20,0,"{'speed': 10.4, 'deg': 12, 'gust': 14.63}",MR,200
211,san joaquin,37.9333,-121.3011,80.19,48,0,"{'speed': 5.75, 'deg': 0}",US,200
212,deputatskiy,69.3,139.9,16.56,93,100,"{'speed': 3.44, 'deg': 334, 'gust': 4.25}",RU,200
213,vannes,47.8333,-2.5,47.01,93,4,"{'speed': 11.05, 'deg': 271, 'gust': 26.42}",FR,200
214,hobyo,5.3505,48.5268,83.68,76,100,"{'speed': 12.93, 'deg': 121, 'gust': 14.54}",SO,200
215,cap malheureux,-19.9842,57.6142,77.47,81,85,"{'speed': 5.99, 'deg': 77, 'gust': 8.99}",MU,200
216,semikarakorsk,47.5194,40.8112,46.96,83,7,"{'speed': 2.8, 'deg': 79, 'gust': 2.84}",RU,200
217,pacific grove,36.6177,-121.9166,72.39,83,100,"{'speed': 11.5, 'deg': 270}",US,200
218,ahipara,-35.1667,173.1667,62.04,74,97,"{'speed': 19.98, 'deg': 188, 'gust': 26.75}",NZ,200
219,elizabeth city,36.2946,-76.2511,73.42,40,0,"{'speed': 8.05, 'deg': 280}",US,200
220,bengkulu,-3.8004,102.2655,76.77,86,23,"{'speed': 3.91, 'deg': 64, 'gust': 4.16}",ID,200
221,amahai,-3.3333,128.9167,78.73,85,37,"{'speed': 4.23, 'deg': 346, 'gust': 4.27}",ID,200
222,bowen,-20.0167,148.2333,77.58,70,100,"{'speed': 22.17, 'deg': 130, 'gust': 29.57}",AU,200
223,pevek,69.7008,170.3133,29.86,70,1,"{'speed': 5.17, 'deg': 127, 'gust': 9.73}",RU,200
224,prince rupert,54.3161,-130.3201,48.65,80,100,"{'speed': 3.56, 'deg': 148, 'gust': 5.99}",CA,200
